Subject Id	Subject Flag	Agreed Hours
AHCBAC208	C	40
AHCBAC301	C	80
AHCBAC301A	C	80
AHCBAC302	C	80
AHCBAC302A	C	80
AHCBAC303	C	40
AHCBAC303A	C	40
AHCBAC304	C	40
AHCBAC304A	C	40
AHCBAC305	C	60
AHCBAC305A	C	60
AHCBAC306	C	60
AHCBAC306A	C	60
AHCBAC307	C	40
AHCBAC307A	C	40
AHCBAC308	C	80
AHCBAC308A	C	80
AHCBAC309	C	60
AHCBAC309A	C	80
AHCBAC310	C	60
AHCBAC311	C	80
AHCBAC312	C	40
AHCBAC313	C	80
AHCBAC314	C	40
AHCBAC315	C	60
AHCBAC316	C	40
AHCBAC317	C	80
AHCBAC401	C	120
AHCBAC401A	C	120
AHCBAC402	C	120
AHCBAC402A	C	120
AHCBAC403	C	60
AHCBAC403A	C	60
AHCBAC404	C	80
AHCBAC404A	C	80
AHCBAC405	C	80
AHCBAC405A	C	80
AHCBAC406	C	40
AHCBAC406A	C	40
AHCBAC407	C	30
AHCBAC407A	C	30
AHCBAC408	C	120
AHCBAC409	C	50
AHCBAC410	C	120
AHCBAC411	C	120
AHCBAC412	C	60
AHCBAC413	C	80
AHCBAC414	C	80
AHCBAC415	C	40
AHCBAC416	C	30
AHCBAC417	C	120
AHCBAC501A	C	120
AHCBAC502	C	120
AHCBAC502A	C	120
AHCBAC503	C	120
AHCBAC503A	C	120
AHCBAC504	C	100
AHCBAC504A	C	100
AHCBAC505	C	130
AHCBAC505A	C	130
AHCBAC506	C	130
AHCBAC506A	C	130
AHCBAC507	C	140
AHCBAC507A	C	140
AHCBAC508	C	90
AHCBAC509	C	130
AHCBAC510	C	120
AHCBAC511	C	100
AHCBAC512	C	140
AHCBAC513	C	90
AHCBAC514	C	120
AHCBAC515	C	120
AHCBAC516	C	130
AHCBEK201	C	20
AHCBEK201A	C	20
AHCBEK202	C	10
AHCBEK202A	C	10
AHCBEK203	C	20
AHCBEK203A	C	20
AHCBEK204	C	25
AHCBEK204A	C	25
AHCBEK205	C	10
AHCBEK206	C	25
AHCBEK301	C	15
